"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Cognitive function > Prospective memory",100031,4291,"Number of attempts",227826,269420,"Complete","Integer","","Data","Primary","Unisex",4,1,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4291"
"Assessment centre > Cognitive function > Prospective memory",100031,4292,"PM: initial answer",227826,269421,"Complete","Categorical single","","Data","Primary","Unisex",4,1,16,"Participants were allowed up to 2 attempts to correctly recall the colour/shape shown to them earlier in the touchscreen section. This is the first answer they gave.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4292"
"Assessment centre > Cognitive function > Prospective memory",100031,4293,"PM: final answer",227826,269421,"Complete","Categorical single","","Data","Primary","Unisex",4,1,16,"Participants were allowed up to 2 attempts to correctly recall the colour/shape shown to them earlier in the touchscreen section. This is the final answer they gave - whether it is their first or second attempt can be gauged from Field 4291.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4293"
"Assessment centre > Cognitive function > Prospective memory",100031,4294,"Final attempt correct",227826,269421,"Complete","Categorical single","","Data","Primary","Unisex",4,1,29,"True if final answer given was correct.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4294"
"Assessment centre > Cognitive function > Prospective memory",100031,4295,"History of attempts",227826,269421,"Complete","Text","","Data","Primary","Unisex",4,1,,"Records the history of attempts the user made at answering.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4295"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4407,"Average monthly red wine intake",57053,63592,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many glasses of RED wine would you drink?  (There are six glasses in an average bottle)\" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling red wine here.      Field 4407 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4407"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4418,"Average monthly champagne plus white wine intake",57053,63592,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many glasses of WHITE wine or champagne would you drink?  (There are six glasses in an average bottle)\" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling white wine here.      Field 4418 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4418"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4429,"Average monthly beer plus cider intake",57053,63592,"Complete","Integer","pints","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)\" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 10 then participant asked to confirm   Field 4429 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answer to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4429"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4440,"Average monthly spirits intake",57053,63592,"Complete","Integer","measures","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle;  spirits include drinks such as whisky, gin, rum, vodka, brandy)\" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 10 then participant asked to confirm   Field 4440 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4440"
"Assessment centre > Touchscreen > Lifestyle and environment > Alcohol",100051,4451,"Average monthly fortified wine intake",57053,63592,"Complete","Integer","glasses","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In an average MONTH, how many glasses of fortified wine would you drink? (There are 12 glasses in an average bottle) (Fortified wines include drinks such as sherry, port, vermouth)\" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Fortified wines include: Sherry, Port, Vermouth, Muscat, Madeira, Malaga, Tokay, Frontignan, Frontignac.      Field 4451 was collected from participants who indicated they drink alcohol on special occasions or one to three times a month, as defined by their answers to Field 1558","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4451"
